"Project Title","Project Acronym","Project Description","Project ID","Finance Project Code","Finance Unit Code",Status,"Lockdown Status","Success Status","Assigned To","Duration (Years)","Project Dates Start","Project Dates End","Proposed End Date","Project Type","Project Activity Type",Tags,Funder,Scheme,"HESA Funder Category","VAT Code","VAT Review Complete?",Opportunity,"Name of Call","Sub-section of Call","URL of Call","URL of Sub-section","Funder Deadline","Award Ceiling","Bid Submitted Date","Supplement Submitted Date","Auto Progress Date","Bid Awarded Date","Supplement Awarded Date","Project Lead",Co-Investigator(s),"Other Editors",Visibility,"View Access","Lead Organisation","Paid via Lead Organisation",Collaborator(s),Subawardee(s),Partner(s),"Other Organisation(s)","Lead Subproject","Other Subprojects","All Subprojects","Lead Org Unit","Other Org Units","All Org Units","Lead Department","NHS Involvement","NHS Reference","Research Areas",Themes,"Research Centres/Groups",Countries,"Pre-award Liaison","Post-award Liaison",Portfolio,"Portfolio Group","Business Liaison","International Development Office Project","Project Phase","Supplementary T&Cs?","Supplementary T&C Details","Bid Restrictions?","Bid Restriction Details","Sponsor Data Retention Limit","Peer Review","Peer Review Notes","Willing to Peer Review Others","Project SharePoint Link","Ethics Implications","Resource Implications","Resource Implication Details","Rationale for Application to this Funder","Related Project(s)","Corporation Tax","Use Bid as a Learning Tool","Transferred In","Transferred In Date","Transferred From","Transferred Out","Transferred Out Date","Transferred To",Retrospective,"HESA Cost Centre","Funder Award Reference","Income Method","Unit of Assessment","HEBCI Main","HEBCI Sub","Material Code","Approved Date","Success Probability %","Lessons Learned Review Completed","Final Report Submitted","Location of Archived Hardcopy","Data Verification Override",Notes,"Price to Funder at Submit","Price to Funder","Cost to HEI at Submit","Cost to HEI","Cost to Funder at Submit","Cost to Funder","Surplus / -Deficit","% Recovery","Marginal Surplus / -Deficit","Marginal % Recovery","Contribution to Overheads","% Contribution to Overheads","Directly Incurred Expenditure Budget","Expenditure Budget","Actual Spend","Expenditure Balance","Committed Spend","Available Balance","Directly Incurred Costs","Directly Incurred Costs (ex Partner Costs)","Directly Incurred Expenditure Budget (ex Partner Costs)","Expenditure Budget (ex Partner Costs)","Actual Spend (ex Partner Costs)","Expenditure Balance (ex Partner Costs)","Committed Spend (ex Partner Costs)","Available Balance (ex Partner Costs)","Directly Incurred Non Staff Costs (ex Partner Costs)","Consumables Cost to HEI","Equipment Cost to HEI","Directly Allocated Costs","Directly Allocated Staff Costs","Estates Costs","Technician Costs","Indirect Costs","Exceptions Costs","Price to Funder (ex Partner Costs)","Price to Funder at Submit (ex Partner Costs)","Cost to HEI (ex Partner Costs)","Cost to HEI at Submit (ex Partner Costs)","Cost to Funder (ex Partner Costs)","Cost to Funder at Submit (ex Partner Costs)","Surplus / -Deficit (ex Partner Costs)","% Recovery (ex Partner Costs)","Marginal Surplus / -Deficit (ex Partner Costs)","Marginal % Recovery (ex Partner Costs)","Contribution to Overheads (ex Partner Costs)","% Contribution to Overheads (ex Partner Costs)",Updated,"Milestone Template","Public Status","Public URL",Created,"Created By","Last Event Date"
"A Global History of the Midlands Engine","Global Midlands",,619574,,,"Bid Development",,Pending,"Clare Anderson (CA26),Pre-award Admin,Rachel Dawes (RD122)",3,2025-01-01,2027-12-31,,"RO - Standard Research",Research,,"AHRC Arts & Humanities Research Council","AHRC Default Scheme","Research Councils - AHRC","Y6 Income - Outside the Scope",,,,,,,,,,,,,,"Clare Anderson (CA26)",,"Rachel Dawes (RD122)","Only people involved in this project",,,Yes,,,,,"SS/HP: History",,"SS/HP: History","SS/HP: History",,"SS/HP: History",,,,,,"99 - Not Applicable for Institute reporting",,"Ellen Puurman (EP258)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,History,,,,,,,,,,,,,"Led by Kate Smith at Birmingham, with Clare Anderson at Leicester as CI, and associated Leicester-based RAs and research activity.",,0.00,,0.00,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,0,0.00,0,0.00,0,"2023-10-19 15:32:13",,Discoverable,,"2023-09-20 15:08:04","Clare Anderson (CA26)","2023-10-19 15:32"
"Queer Heritage and Collections Network",,,485104,,,"Award Setup",,Successful,"Pre-award Admin",4,2024-01-07,2027-01-07,,"RO - Standard Research",Research,,"ARTS COUNCIL ENGLAND Arts Council England","ARTS COUNCIL ENGLAND Default Scheme","UK Charities (Other Process)","Y6 Income - Outside the Scope",,,,,,,"2023-06-26 15:55",,"2023-07-13 11:22",,"2024-07-12 00:00",2023-10-04,,"Richard Sandell (RPS6)","Cesare Cuzzola (CC574),Suzanne MacLeod (SM100)",,"Only people involved in this project",,,Yes,,,"Partner not Listed,The National Trust",,"SS/MS: Museums & Galleries",,"SS/MS: Museums & Galleries","SS/MS: Museums & Galleries",,"SS/MS: Museums & Galleries",,,,,,"99 - Not Applicable for Institute reporting",,"Sara Mounteney (SLM81)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,NLPG-00604447,,,,,,"2023-06-20 11:04",,,,,,,130573.56,130574.00,237362.15,237362.15,130573.56,130574.00,-106788.15,55.01,-129.28,-0.1,-41769.34,-31.99,130574.00,130574.00,0.00,130574.00,0.00,130574.00,130703.28,130703.28,130574.00,130574.00,0.00,130574.00,0.00,130574.00,96000.00,4100.00,0.00,55583.02,41640.06,12677.56,1265.40,51075.85,0.00,130574.00,130573.56,237362.15,237362.15,130574.00,130573.56,-106788.15,55.01,-129.28,-0.1,-41769.34,-31.99,"2023-10-19 15:25:39",,Discoverable,,"2023-02-07 09:38:55","Cesare Cuzzola (CC574)","2023-10-19 15:26"
"(CONS) Sanofi / Amlitelimab Advisory Nov 2023 >",,"New contract as continuation from Project 511895 and Contract 524562
Will incorporate meeting 7 Nov 2023 and ongoing activity after Nov.",597311,,,"Bid Submission",Locked,Pending,"Pre-award Admin",3,2023-10-02,2025-10-02,,"OH - Consultancy (OSR)",Other,,"SANOFI U.S. SERVICES Sanofi U.S. Services, Inc","SANOFI U.S. SERVICES Default Scheme","Non EU (Overseas) Industry & Commerce","YH Income - Services to Rest of World - Zero Rate",,,,,,,,,,,,,,"Christopher Brightling (CEB17)",,"Yvonne Docherty (YED3)","Only people involved in this project",,,Yes,,,,,"LS: Respiratory Sciences",,"LS: Respiratory Sciences","LS: Respiratory Sciences",,"LS: Respiratory Sciences",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin","Josef Walker (JAW69)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-10-19 15:11",,,,,,,,13000.01,,7362.12,,7337.00,5637.88,176.58,7950.85,61.16,7950.85,61.16,5024.04,7337.00,0.00,7337.00,0.00,7337.00,5049.16,5049.16,5024.04,7337.00,0.00,7337.00,0.00,7337.00,0.00,0.00,0.00,593.67,0.00,529.75,63.91,1719.30,0.00,13000.01,,7362.12,,7337.00,,5637.88,176.58,7950.85,61.16,7950.85,61.16,"2023-10-19 15:11:06",,Private,,"2023-08-10 15:03:13","Yvonne Docherty (YED3)","2023-10-19 15:11"
"The Leicestershire & Rutland Organisation for the Relief of Suffering Limited (LOROS) - Identify the feedback model, mechanism, and platform optimal for LOROS ; Create the digital framework consisting of survey questions and data analytic pipelines (A/23/0058)",,,635009,,,"Bid Development",,Pending,"Himanshu Kaul (HK291),Pre-award Admin",3,2022-08-01,2024-10-31,,"RO - Standard Research",Research,,"ESRC ESRC (ECON & SOC RES COUNCIL)","ESRC Default Scheme","Research Councils - ESRC","Y6 Income - Outside the Scope",,,,,,,,,,,,,,"Himanshu Kaul (HK291)",,,"Only people involved in this project",,,Yes,,,,,"SE/EN: Engineering",,"SE/EN: Engineering","SE/EN: Engineering",,"SE/EN: Engineering",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,0,0.00,0,0.00,0,"2023-10-19 15:01:56",,Private,,"2023-10-19 15:00:44","Manish Asiani (MA689)","2023-10-19 15:03"
"Hyperglycaemia contributes to hypertension by altering vascular contractility and promoting vascular remodelling",,"Coexistence of diabetes and hypertension exacerbates morbidity of cardiovascular diseases, indicating a
synergy/cooperativity between these pathophysiologies. Although multifactorial, hypertension is associated
with over-production of vasoconstrictors that mediate arterial hyper-constriction, and remodelling via their
cognate G protein-coupled receptors (GPCRs). Under normoglycaemic conditions vessel hyper-contractility is
prevented by G protein-coupled receptor kinase 2 (GRK2)-mediated desensitization of vasoconstrictor-GPCR
activity. Our preliminary data show that acute hyperglycaemia blocks desensitization of vasoconstrictor-
stimulated vessel contractions, prevents vasoconstrictor-mediated membrane recruitment of GPCR-
desensitizing GRK2, and enhances signalling pathways that mediate vasoconstrictor-stimulated vascular
remodelling, suggesting glucose can modulate blood pressure. We will now determine: (1) how glucose
prevents the desensitization of vasoconstrictor-stimulated vascular contractions; (2) how glucose blocks
agonist-mediated GRK2 recruitment to vasoconstrictor GPCRs; (3) how glucose effects vasoconstrictor-driven
MAPK signalling; (4) and whether these changes underlie an ability of glucose to promote VSMC
migration/proliferation. This novel work will provide greater insight into how glucose promotes hypertension.",634991,,,"Bid Development",,Pending,"Jonathon Willets (JMW23),Pre-award Admin",3,2024-07-01,2027-06-30,,"RO - Standard Research",Research,,"BHF British Heart Foundation","BRITISH HEART Default Scheme","UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,None,,None,,,350000.00,,,,,,"Jonathon Willets (JMW23)",,,"Only people involved in this project",,,Yes,,,"University of Liverpool",,"LS: Molecular & Cell Biology",,"LS: Molecular & Cell Biology","LS: Molecular & Cell Biology",,"LS: Molecular & Cell Biology",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,180101.67,,409743.25,,180101.67,-229641.58,43.95,-669.58,-0.37,-669.58,-0.37,180101.67,180101.67,0.00,180101.67,0.00,180101.67,180771.25,180771.25,180101.67,180101.67,0.00,180101.67,0.00,180101.67,1500.00,0.00,0.00,58770.00,0.00,52443.00,6327.00,170202.00,0.00,180101.67,,409743.25,,180101.67,,-229641.58,43.95,-669.58,-0.37,-669.58,-0.37,"2023-10-19 14:59:12",,Private,,"2023-10-19 14:46:43","Jonathon Willets (JMW23)","2023-10-19 15:08"
"Development and piloting of a digital-baSed self-management edUcation Programme to imPrOve pRegnancy ouTcomes in women with Early-onset type 2 Diabetes (SUPPORTED): an observational study","SUPPORTED study","This is an observational study, with the aim to develop and pilot a digital-based self-management education programme for women with early-onset type 2 diabetes, to improve pregnancy outcomes.",634957,,,"Bid Development",,Pending,"Louise Goff (LW419),Melanie Davies (MJD34),Michelle Hadjiconstantinou (MH333),Natalie Darko (DD253),Pre-award Admin",4,2024-06-01,2028-05-31,,"RC - Research Clinical Trial",Research,,"DIABETES UK Diabetes UK","DIABETES UK Default Scheme","UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,"Research to improve our understanding, prevention, treatment, and care of people living with early-onset type 2 diabetes",,https://www.diabetes.org.uk/research/for-researchers/apply-for-a-grant/research-highlight-notices,,"2023-12-01 17:00",,,,,,,"Michelle Hadjiconstantinou (MH333)","Natalie Darko (DD253),Melanie Davies (MJD34),Louise Goff (LW419)",,"Only people involved in this project",,,Yes,"Imperial College London",,,,"LS/HS: Diabetes","LS/HS: Population Health Sciences,SS/MC: Sociology","LS/HS: Diabetes,LS/HS: Population Health Sciences,SS/MC: Sociology","LS/HS: Diabetes","LS/HS: Population Health Sciences,SS/MC: Sociology","LS/HS: Diabetes,LS/HS: Population Health Sciences,SS/MC: Sociology",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,"Vicki Inchley is supporting me on this grant.",,0.00,,0.00,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,0,0.00,0,0.00,0,"2023-10-19 14:51:48",,Private,,"2023-10-19 14:31:16","Michelle Hadjiconstantinou (MH333)","2023-10-19 14:52"
"Getting the bloods to the laboratory: developing interventions to improve the blood culture pathway for patient safety and antimicrobial stewardship",,,509969,,,"Award Setup",,Successful,"Post-award Admin,Pre-award Admin",3,2024-01-01,2026-06-30,,"RC - Research Clinical Trial",Research,,"NIHR National Institute of Health Research","NIHR Default Scheme","UK Central Government","Y6 Income - Outside the Scope",,,"22/117 HSDR Researcher-led call (Aug 22 - Nov 22)",,https://www.nihr.ac.uk/funding/22117-health-and-social-care-delivery-research-programme-researcher-led/31250,,"2023-03-29 13:00",,"2023-03-29 12:13",,"2024-03-28 00:00",2023-07-10,,"Carolyn Tarrant (CCP3)","Eva Krockow (EMK12),Tim Coats (TC61)",,"Only people involved in this project",,,Yes,,"Kettering General Hospital NHS Foundation Trust,RAND Europe,UHL NHS Trust,University College London,University College London Hospitals NHS Foundation Trust,University of the Arts London",,,"LS/HS: Population Health Sciences","Cardiovascular Sciences,Psychology","Cardiovascular Sciences,LS/HS: Population Health Sciences,Psychology","LS/HS: Population Health Sciences","LS: Cardiovascular Sciences,LS: Psychology","LS/HS: Population Health Sciences,LS: Cardiovascular Sciences,LS: Psychology",,Yes,,,,"99 - Not Applicable for Institute reporting",,"Vicki Inchley (VLC2)",,"Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,NIHR156452,,,,,,"2023-03-29 11:51",,,,,,"2nd Stage costing.   The 1st stage costing done on LUCRE (costing 44633 ) & was reported on SAP.   Funds for data extraction will go to the Hospitals via Site Agreement.

Funder Reference NIHR156452.

5% of the grant will be retained until your final report is received, & a further 5% until it is ready for publication. Your report will be due to be received by us 14 days after the completion date of your project. You will also be required to submit a financial reconciliation statement & transaction report of expenditure (in an Excel format), no later than 3 months after the completion date of your project.",762837.85,752059.85,947153.34,928533.54,932830.19,919621.15,-176473.69,80.99,349619.03,46.49,231450.63,30.78,394007.02,919621.15,0.00,919621.15,0.00,919621.15,402440.82,301876.39,293442.59,919621.15,0.00,919621.15,0.00,919621.15,119951.23,0.00,1656.79,200332.14,118168.39,29129.63,0.00,325760.58,0.00,545144.74,536464.65,675874.02,670171.22,666961.63,655848.07,-130729.28,80.66,243268.35,44.62,125099.95,22.95,"2023-10-19 14:27:00",,Discoverable,,"2023-03-01 12:38:13","Carolyn Tarrant (CCP3)","2023-10-19 14:26"
"Multilevel models for heterogeneous associations and effects in medical research",,,620146,,,"Bid Approval",Locked,Pending,"HoD Approval Health Sciences",2,2024-10-01,2026-09-30,,"RO - Standard Research",Research,,"MRC MRC","MRC Default Scheme","Research Councils - MRC","Y6 Income - Outside the Scope",,,,,,,,,,,,,,"Francesco Zaccardi (FZ43)",,"Seema Ragha (SR581)","Only people involved in this project",,,Yes,"Loughborough University",,,,"LS/HS: Population Health Sciences",,"LS/HS: Population Health Sciences","LS/HS: Population Health Sciences",,"LS/HS: Population Health Sciences",,,,,,,,"William Hudson (WOH3)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,74191.34,,93587.76,,92739.17,-19396.42,79.27,64191.34,86.52,12615.58,17,10000.00,92739.17,0.00,92739.17,0.00,92739.17,10000.00,10000.00,10000.00,92739.17,0.00,92739.17,0.00,92739.17,10000.00,0.00,0.00,55220.76,51575.76,3645.00,0.00,28367.00,0.00,74191.34,,93587.76,,92739.17,,-19396.42,79.27,64191.34,86.52,12615.58,17,"2023-10-19 14:15:53",,Private,,"2023-09-21 11:44:29","Seema Ragha (SR581)","2023-10-19 14:15"
"Under The Radar: The East Midlands, The Manorial Court Rolls And The Revolt Of 1381",,"Whether looking at how rumour spread of uprisings, pardoning of rebels, or the more general popular participation, over the last two decades the events of 1381 have reawakened the interest of historians. However, there is still a strong tendency to accept geographical and temporal boundaries (south east, East Anglia, etc) set early in the modern study of the revolt, if not by the surviving chronicles themselves. This project examines the value of widening out both aspects of the revolt, looking at the East Midlands, an area from which there is much anecdotal evidence but limited hard empirical research, looking to a wider time frame (1360-1400) around the revolt than the usual focus on the  years immediately after the 1381 revolt (i.e. to understand background restiveness), and conducting  a statistical analysis of the little used, for the study of the revolt at least, manorial records when it comes to local restiveness.",619694,,,"Bid Approval",Locked,Pending,"Pre-award Admin",2,2024-07-01,2026-06-30,,"RO - Standard Research",Research,,"BRITISH ACADEMY The British Academy","BA/Leverhulme Small Research Grants","Research Councils (BEIS) - Roy Society and Brit Academy","Y6 Income - Outside the Scope",,,"British Academy/Leverhulme Small Grants",,https://www.thebritishacademy.ac.uk/funding/ba-leverhulme-small-research-grants/,,"2023-11-08 16:10",10000.00,,,,,,"James Bothwell (JSB16)",,,"Only people involved in this project",,,Yes,,,,,"SS/HP: History",,"SS/HP: History","SS/HP: History",,"SS/HP: History",,,,,,"99 - Not Applicable for Institute reporting",,"Ellen Puurman (EP258)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,History,,,,,,,,,,,,,,,7667.59,,7667.59,,7667.59,0.00,100,0.00,0,0.00,0,7667.59,7667.59,0.00,7667.59,0.00,7667.59,7667.59,7667.59,7667.59,7667.59,0.00,7667.59,0.00,7667.59,7667.59,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7667.59,,7667.59,,7667.59,,0.00,100,0.00,0,0.00,0,"2023-10-19 13:50:18",,Discoverable,,"2023-09-20 16:04:45","James Bothwell (JSB16)","2023-10-19 13:50"
"Ageing LGBTQ Lives in the UK and Italy: Criminalisations and Migrations",CRIMAGE,"CRIMAGE will be the first international research project to analyse the experiences of criminalisation, migration, and ageing for lesbian, gay, bisexual, trans, intersex and queer (LGBTQ+) people living in the UK and in Italy. Using participatory ethnographic methods, it will study the criminalisation of sexualities, age, and migration by collecting and analysing the perspectives of ageing LGBTQ+ people (60 years old and above).",543910,,,"Bid Development",,Pending,"Calogero Giametta (CG376),Pre-award Admin",2,2024-09-01,2026-08-31,,"RO - Standard Research",Research,,"THE LEVERHULME TRUST The Leverhulme Trust","THE LEVERHULME TRUST Default Scheme","UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,,,https://www.leverhulme.ac.uk/research-project-grants,,,500000.00,,,,,,"Calogero Giametta (CG376)",,,"Only people involved in this project",,,Yes,,"University of Southampton",,,"SS/CR: Criminology",,"SS/CR: Criminology","SS/CR: Criminology",,"SS/CR: Criminology",,,,,,"99 - Not Applicable for Institute reporting",,"Ellen Puurman (EP258)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Social work & social policy",,,,,,,,,,,,,,,311498.81,,664395.05,,311498.81,-352896.23,46.88,-24088.29,-7.73,-50702.95,-16.28,311498.81,311498.81,0.00,311498.81,0.00,311498.81,335587.10,305926.31,281838.02,311498.81,0.00,311498.81,0.00,311498.81,41130.00,0.00,0.00,61023.46,26614.66,34408.80,0.00,267784.48,0.00,281838.02,,634734.26,,281838.02,,-352896.23,44.4,-24088.29,-8.55,-50702.95,-17.99,"2023-10-19 13:46:36",,Discoverable,,"2023-04-27 11:23:55","Calogero Giametta (CG376)","2023-10-19 13:47"
"Intelligent Robotic Arc Welding System for In-Orbit Repairing, Manufacturing, and Joining",I-RAWS,"Electric Arc Welding Manufacturing, Repairing,  and Joining in Space (for in-orbit service, repair, and assembly)",632158,,,"Bid Approval",Locked,Pending,"Pre-award Admin",2,2024-02-01,2025-08-01,,"RO - Standard Research",Research,,"UKSA UK Space Agency","UK SPACE AGENCY Default Scheme","UK Central Government","Y6 Income - Outside the Scope",,,"National Space Innovation Programme – Kick Starter – Open Call (Call 1)",,https://www.gov.uk/government/publications/national-space-innovation-programme-kick-starter-open-call-call-1,,"2023-10-31 13:00",1000000.00,,,,,,"Daniel Hao (ZH168)","Hong Dong (HD38)","Teresa Raventos (TR91),Stephen Ison (SJI5),Hong Dong (HD38)","Only people involved in this project",,,Yes,,,,,"SE/CM: Computing Sciences","SE/EN: Engineering","SE/CM: Computing Sciences,SE/EN: Engineering","SE/CM: Computing Sciences","SE/EN: Engineering","SE/CM: Computing Sciences,SE/EN: Engineering",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,335581.04,,420267.68,,419476.30,-84686.64,79.85,120926.10,36.03,120926.10,36.03,213863.56,419476.30,0.00,419476.30,0.00,419476.30,214654.94,214654.94,213863.56,419476.30,0.00,419476.30,0.00,419476.30,9360.00,3600.00,960.00,35981.57,0.00,33549.37,2432.19,169631.17,0.00,335581.04,,420267.68,,419476.30,,-84686.64,79.85,120926.10,36.03,120926.10,36.03,"2023-10-19 13:25:29",,Private,,"2023-10-15 12:16:45","Daniel Hao (ZH168)","2023-10-19 13:25"
"Unravelling the role of SVEP1 in Vascular Disease: From Genetic and Proteomic Associations to Molecular Mechanisms",,,618199,,,"Bid Approval",Locked,Pending,"Pre-award Admin",3,2024-05-01,2027-04-30,,"RO - Standard Research",Research,,"BHF British Heart Foundation","BRITISH HEART Default Scheme","UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,,,,,,,,,,,,"Gavin Morris (GEM8)",,,"Only people involved in this project",,,Yes,,,,,"LS: Cardiovascular Sciences",,"LS: Cardiovascular Sciences","LS: Cardiovascular Sciences",,"LS: Cardiovascular Sciences",,,,,,"99 - Not Applicable for Institute reporting",,"Kerry Warner (KW153)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,317359.61,,547140.01,,317359.61,-229780.40,58,11791.60,3.72,11791.60,3.72,304759.61,317359.61,0.00,317359.61,0.00,317359.61,305568.01,305568.01,304759.61,317359.61,0.00,317359.61,0.00,317359.61,88274.00,63614.00,22660.00,71370.00,0.00,52443.00,6327.00,170202.00,0.00,317359.61,,547140.01,,317359.61,,-229780.40,58,11791.60,3.72,11791.60,3.72,"2023-10-19 13:12:49",,Discoverable,,"2023-09-18 13:48:00","Gavin Morris (GEM8)","2023-10-19 13:12"
"NIHR Pre-Doctoral Fellowship - Hannah Cooper",,,496976,RM62W496976,,"Project Live",Locked,Successful,"Eva Krockow (EMK12),Post-award Admin,Pre-award Admin,Sarah Booth (SB952)",2,2023-10-01,2025-09-30,,"RF - Research Fellowship",Research,,"NIHR National Institute of Health Research","Programme Grants for Applied Research (PGfAR)","UK Central Government","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,,,https://www.nihr.ac.uk/funding/pre-doctoral-fellowship-round-5/32461,,"2023-03-16 13:00",,"2023-03-13 11:10",,"2024-03-12 00:00",2023-06-15,,"Sarah Booth (SB952)","Eva Krockow (EMK12)",,"Only people involved in this project",,,Yes,,,,,"LS/HS: Population Health Sciences",,"LS/HS: Population Health Sciences","LS/HS: Population Health Sciences",,"LS/HS: Population Health Sciences",,No,,,,"99 - Not Applicable for Institute reporting",,"Vicki Inchley (VLC2)","Jane Bee (JB759)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Clinical medicine",NIHR303392,"10 - Automatic payment by Funder - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-03-10 14:08",,,,,,,97483.30,99566.00,230905.10,229110.60,97483.30,99566.00,-129544.60,43.46,-1496.60,-1.5,-1496.60,-1.5,98566.00,99566.00,0.00,99566.00,0.00,99566.00,101062.60,101062.60,98566.00,99566.00,0.00,99566.00,0.00,99566.00,14470.00,0.00,0.00,14580.00,0.00,14580.00,0.00,113468.00,0.00,99566.00,97483.30,229110.60,230905.10,99566.00,97483.30,-129544.60,43.46,-1496.60,-1.5,-1496.60,-1.5,"2023-10-19 13:05:09",,Discoverable,,"2023-02-14 15:12:27","Sarah Booth (SB952)","2023-10-19 13:05"
"CRF Recharge Funding for Natalie Darko 1/6/23 to 31/3/24",,,604320,,,"Project Setup",Locked,Successful,"Post-award Admin",1,2023-06-01,2024-03-31,,"RO - Standard Research",Research,,"UHL University Hospitals of Leicester","UHL Default Scheme","UK Health & Hospitals","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,,,,,,,"2023-08-29 08:24",,"2024-08-28 00:00",2023-08-29,,"Natalie Darko (DD253)",,,"Only people involved in this project",,,,,,,,"SS/MC: Sociology",,"SS/MC: Sociology","SS/MC: Sociology",,"SS/MC: Sociology",,,,,,"99 - Not Applicable for Institute reporting",,"Vicki Inchley (VLC2)",,"Post-award Admin (Project Setup)","Post-award Admin",,,"Full Application",,,,,,,,,,,No,,,,,,,,,,,,Yes,"Clinical medicine",TBC,,,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-08-29 08:17",,,,,,,15430.00,15430.00,26158.04,26158.04,15430.00,15430.00,-10728.04,58.99,-57.38,-0.37,-57.38,-0.37,15430.00,15430.00,0.00,15430.00,0.00,15430.00,15487.38,15487.38,15430.00,15430.00,0.00,15430.00,0.00,15430.00,0.00,0.00,0.00,1215.00,0.00,1215.00,0.00,9455.67,0.00,15430.00,15430.00,26158.04,26158.04,15430.00,15430.00,-10728.04,58.99,-57.38,-0.37,-57.38,-0.37,"2023-10-19 12:25:10",,Discoverable,,"2023-08-25 09:29:01","David Downton (dd22)","2023-10-19 12:28"
